ID,Player,Span,Mat,Inns, Overs ,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5
131,LE Plunkett (ENG),2006-2019,22,22, 79.20 ,1,627,25,21-Mar,25.08,7.9,19,0,0
132,B Regmi (NEPAL),2014-2019,18,18, 62.10 ,0,405,25,16-Apr,16.2,6.51,14.9,1,0
133,AD Russell (WI),2011-2018,47,40, 99.10 ,0,908,25,10-Feb,36.32,9.15,23.8,0,0
134,SMSM Senanayake (SL),2012-2016,24,23, 81.00 ,0,549,25,Apr-46,21.96,6.77,19.4,1,0
135,DG Blampied (JER),2019-2019,17,17, 61.40 ,1,395,24,20-Apr,16.45,6.4,15.4,1,0
136,TT Bresnan (ENG),2006-2014,34,34, 110.30 ,1,887,24,10-Mar,36.95,8.02,27.6,0,0
137,JH Davey (SCOT),2012-2019,21,20, 74.40 ,0,610,24,Apr-34,25.41,8.16,18.6,1,0
138,Faheem Ashraf (PAK),2017-2019,27,26, 74.30 ,1,557,24,5-Mar,23.2,7.47,18.6,0,0
139,Haseeb Amjad (HKG),2014-2016,18,18, 61.20 ,3,453,24,16-Apr,18.87,7.38,15.3,1,0
140,Karim Janat (AFG),2016-2019,21,21, 73.00 ,0,614,24,11-May,25.58,8.41,18.2,0,1
141,N Nipiko (VAN),2019-2019,14,13, 39.20 ,0,311,24,19-May,12.95,7.9,9.8,2,1
142,KMA Paul (WI),2018-2019,18,18, 65.00 ,0,540,24,15-May,22.5,8.3,16.2,0,1
143,RJ Peterson (SA),2006-2014,21,19, 59.50 ,1,451,24,28-Mar,18.79,7.53,14.9,0,0
144,D Ravu (PNG),2019-2019,17,16, 42.10 ,0,221,24,15-May,9.2,5.24,10.5,1,1
145,D Wiese (SA),2013-2016,20,20, 65.20 ,0,497,24,23-May,20.7,7.6,16.3,0,1
146,IG Butler (NZ),2009-2013,19,18, 59.40 ,1,481,23,19-Mar,20.91,8.06,15.5,0,0
147,CO Obuya (KENYA),2007-2019,35,18, 52.20 ,0,334,23,27-Apr,14.52,6.38,13.6,1,0
148,RJ Sidebottom (ENG),2007-2010,18,18, 61.10 ,0,437,23,16-Mar,19,7.14,15.9,0,0
149,I Udana (SL),2009-2019,27,26, 85.10 ,1,725,23,11-Mar,31.52,8.51,22.2,0,0
150,CA Young (IRE),2015-2019,26,25, 77.00 ,1,635,23,13-Apr,27.6,8.24,20,1,0
151,Aamir Kaleem (OMAN),2015-2019,25,20, 54.00 ,0,388,22,15-May,17.63,7.18,14.7,2,1
152,A Dananjaya (SL),2012-2019,22,22, 79.40 ,1,620,22,Mar-36,28.18,7.78,21.7,0,0
153,Mohammad Nadeem (OMAN),2015-2019,22,22, 68.00 ,0,445,22,23-Apr,20.22,6.54,18.5,1,0
154,MN Samuels (WI),2007-2018,67,30, 79.50 ,0,622,22,23-Mar,28.27,7.79,21.7,0,0
155,BM Scholtz (NAM),2019-2019,14,14, 53.00 ,0,285,22,12-Apr,12.95,5.37,14.4,1,0
156,AC Botha (IRE),2008-2010,14,10, 34.00 ,0,184,21,14-Mar,8.76,5.41,9.7,0,0
157,JP Duminy (SA),2007-2019,81,41, 77.10 ,0,599,21,18-Mar,28.52,7.76,22,0,0
158,JN Frylinck (NAM),2019-2019,14,13, 42.10 ,0,240,21,21-Apr,11.42,5.69,12,1,0
159,Mohammad Sami (PAK),2010-2016,13,13, 46.00 ,0,387,21,16-Mar,18.42,8.41,13.1,0,0
160,Abdul Razzaq (PAK),2006-2013,32,22, 56.30 ,2,395,20,13-Mar,19.75,6.99,16.9,0,0
161,Ahmed Raza (UAE),2014-2019,36,35, 120.20 ,1,779,20,18-Feb,38.95,6.47,36.1,0,0
162,DAJ Bracewell (NZ),2011-2019,18,16, 47.40 ,0,437,20,25-Mar,21.85,9.16,14.3,0,0
163,JEC Franklin (NZ),2006-2013,38,26, 54.30 ,0,417,20,15-Apr,20.85,7.65,16.3,1,0
164,FJ Klaassen (NL),2018-2019,21,20, 69.10 ,0,581,20,31-Mar,29.05,8.4,20.7,0,0
165,Mujeeb Ur Rahman (AFG),2018-2019,16,16, 60.00 ,0,324,20,15-Apr,16.2,5.4,18,1,0
166,T Panyangara (ZIM),2013-2016,14,14, 50.30 ,1,398,20,Apr-37,19.9,7.88,15.1,1,0
167,CW Perchard (JER),2019-2019,15,13, 46.50 ,0,275,20,17-May,13.75,5.87,14,1,1
168,AM Phangiso (SA),2012-2018,16,16, 57.00 ,0,443,20,25-Mar,22.15,7.77,17.1,0,0
169,A Vala (PNG),2015-2019,26,16, 44.50 ,1,249,20,7-Mar,12.45,5.55,13.4,0,0
170,C Viljoen (NAM),2019-2019,12,12, 37.10 ,0,236,20,9-May,11.8,6.34,11.1,1,1
171,Zahoor Khan (UAE),2017-2019,18,18, 59.30 ,0,442,20,17-Feb,22.1,7.42,17.8,0,0
172,CJA Amini (PNG),2015-2019,23,21, 63.10 ,0,367,19,13-Feb,19.31,5.81,19.9,0,0
173,Amjad Mahboob (SGP),2019-2019,11,11, 37.40 ,1,317,19,20-Mar,16.68,8.41,11.8,0,0
174,NW Bracken (AUS),2006-2009,19,19, 62.50 ,2,438,19,11-Mar,23.05,6.97,19.8,0,0
