ID,Player,Span,Mat,Inns, Overs ,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5
749,ST Gabriel (WI),2013-2013,2,2, 7.00 ,0,56,3,Mar-44,18.66,8,14,0,0
750,CJ Gannon (USA),2019-2019,4,3, 9.00 ,0,67,3,21-Feb,22.33,7.44,18,0,0
751,D Gough (ENG),2005-2006,2,2, 6.50 ,0,49,3,16-Mar,16.33,7.17,13.6,0,0
752,TGJ Gruijters (NL),2012-2013,8,5, 12.00 ,0,74,3,5-Jan,24.66,6.16,24,0,0
753,HF Gurney (ENG),2014-2014,2,2, 8.00 ,0,55,3,26-Feb,18.33,6.87,16,0,0
754,AJ Hall (SA),2006-2006,2,2, 8.00 ,0,60,3,22-Mar,20,7.5,16,0,0
755,SM Harwood (AUS),2007-2009,3,3, 12.00 ,0,113,3,21-Feb,37.66,9.41,24,0,0
756,Hayatullah Niazi (NOR),2019-2019,4,4, 10.00 ,0,81,3,19-Jan,27,8.1,20,0,0
757,J Hill (PHI),2019-2019,4,2, 6.00 ,0,50,3,27-Feb,16.66,8.33,12,0,0
758,J Hirschi (MALTA),2019-2019,4,4, 11.00 ,0,96,3,18-Feb,32,8.72,22,0,0
759,Z Hoque (THAI),2019-2019,3,3, 12.00 ,0,51,3,13-Jan,17,4.25,24,0,0
760,JJ Huo (Moz),2019-2019,7,3, 10.00 ,0,56,3,14-Mar,18.66,5.6,20,0,0
761,Ijaz Hussain (ROM),2019-2019,3,3, 9.50 ,0,89,3,19-Feb,29.66,9.05,19.6,0,0
762,D Jakiel (ZIM),2019-2019,2,2, 7.00 ,0,44,3,27-Feb,14.66,6.28,14,0,0
763,GSNFG Jayasuriya (SL),2015-2019,16,10, 21.50 ,0,202,3,11-Jan,67.33,9.25,43.6,0,0
764,Kaleemullah (OMAN),2017-2019,6,6, 19.00 ,1,132,3,23-Feb,44,6.94,38,0,0
765,Kaleem Shah (Moz),2019-2019,7,6, 17.00 ,0,130,3,24-Feb,43.33,7.64,34,0,0
766,E Katchay (CAN),2008-2008,4,4, 10.00 ,0,71,3,18-Jan,23.66,7.1,20,0,0
767,SKW Kelly (BMUDA),2008-2008,3,3, 7.00 ,0,50,3,18-Feb,16.66,7.14,14,0,0
768,P Kerai (KENYA),2019-2019,6,5, 11.00 ,0,82,3,15-Mar,27.33,7.45,22,0,0
769,J Kila (PNG),2019-2019,12,9, 17.00 ,0,99,3,5-Jan,33,5.82,34,0,0
770,AC Kose (TKY),2019-2019,4,2, 8.00 ,0,116,3,Feb-62,38.66,14.5,16,0,0
771,DS Kulkarni (INDIA),2016-2016,2,2, 8.00 ,0,55,3,23-Feb,18.33,6.87,16,0,0
772,CBRLS Kumara (SL),2019-2019,3,3, 12.00 ,0,97,3,24-Feb,32.33,8.08,24,0,0
773,UKPW Kumaranayaka (KUW),2019-2019,3,3, 12.00 ,0,102,3,26-Feb,34,8.5,24,0,0
774,NCK Liyanage (MAL),2019-2019,6,5, 14.00 ,0,100,3,19-Jan,33.33,7.14,28,0,0
775,DL Maddy (ENG),2007-2007,4,2, 3.00 ,0,26,3,6-Feb,8.66,8.66,6,0,0
776,S Mahmood (ENG),2019-2019,3,3, 10.00 ,0,115,3,20-Jan,38.33,11.5,20,0,0
777,SI Mahmood (ENG),2006-2009,4,4, 14.00 ,0,155,3,31-Jan,51.66,11.07,28,0,0
778,MSS Mandy (Chile),2019-2019,4,3, 8.00 ,0,43,3,19-Feb,14.33,5.37,16,0,0
779,Mansoor Amjad (PAK),2008-2008,1,1, 1.00 ,0,3,3,3-Mar,1,3,2,0,0
780,TS Mills (ENG/ICC),2016-2018,5,5, 19.00 ,1,129,3,27-Jan,43,6.78,38,0,0
781,T Mishra (KENYA),2007-2013,15,2, 5.00 ,0,33,3,25-Mar,11,6.6,10,0,0
782,K Modise (Botsw),2019-2019,3,2, 5.00 ,0,41,3,18-Mar,13.66,8.2,10,0,0
783,Mohammad Ghazanfar (HKG),2019-2019,5,5, 14.00 ,0,85,3,11-Feb,28.33,6.07,28,0,0
784,Mohammad Hasnain (PAK),2019-2019,4,4, 16.00 ,0,137,3,Mar-37,45.66,8.56,32,0,0
785,Mohammed Siraj (INDIA),2017-2018,3,3, 12.00 ,0,148,3,Jan-45,49.33,12.33,24,0,0
786,Musa Shaheen (DEN),2019-2019,1,1, 2.20 ,0,11,3,11-Mar,3.66,4.71,4.6,0,0
787,Naeem Islam (BDESH),2008-2013,10,6, 15.00 ,0,122,3,Feb-32,40.66,8.13,30,0,0
788,A Nathwani (Aut),2019-2019,5,4, 10.00 ,0,79,3,9-Jan,26.33,7.9,20,0,0
789,MP O'Dowd (NL),2015-2019,36,9, 12.40 ,0,119,3,7-Jan,39.66,9.39,25.3,0,0
790,HC Overdijk (NL),2018-2019,4,3, 8.00 ,0,72,3,23-Feb,24,9,16,0,0
791,SD Parry (ENG),2014-2015,5,5, 16.00 ,0,138,3,Feb-33,46,8.62,32,0,0
792,JL Pattinson (AUS),2011-2012,4,4, 13.00 ,0,104,3,17-Feb,34.66,8,26,0,0
793,MDK Perera (SL),2011-2011,3,3, 10.00 ,0,72,3,26-Mar,24,7.2,20,0,0
794,J Perman (ESP),2019-2019,2,2, 8.00 ,0,41,3,18-Feb,13.66,5.12,16,0,0
795,R Pisal (ROM),2019-2019,1,1, 3.00 ,0,4,3,4-Mar,1.33,1.33,6,0,0
796,D Pretorius (SA),2017-2019,6,6, 14.00 ,0,116,3,12-Jan,38.66,8.28,28,0,0
797,P Raho (PNG),2016-2016,2,2, 3.00 ,0,20,3,11-Mar,6.66,6.66,6,0,0
798,Raja Adeel (ESP),2019-2019,3,3, 11.00 ,0,36,3,15-Feb,12,3.27,22,0,0
799,RJ Ranpura (OMAN),2015-2016,3,2, 6.00 ,0,32,3,17-Feb,10.66,5.33,12,0,0
800,KB Ratilal (PNM),2019-2019,3,3, 12.00 ,0,61,3,18-Feb,20.33,5.08,24,0,0
801,WJR Robertson (JER),2019-2019,6,6, 18.10 ,1,101,3,7-Jan,33.66,5.55,36.3,0,0
802,M Sert (TKY),2019-2019,4,4, 10.00 ,0,93,3,Feb-38,31,9.3,20,0,0
803,A Shahzad (ENG),2010-2011,3,3, 11.00 ,0,97,3,Feb-38,32.33,8.81,22,0,0
804,R Sharma (INDIA),2012-2012,2,2, 7.20 ,0,56,3,Feb-29,18.66,7.63,14.6,0,0
805,Shiraz Khan (KUW),2019-2019,6,6, 20.00 ,0,140,3,Feb-35,46.66,7,40,0,0
806,Shoaib Ali (Saudi),2019-2019,5,5, 15.30 ,0,129,3,25-Feb,43,8.32,31,0,0
807,DJM Short (AUS),2018-2019,20,9, 19.00 ,0,151,3,13-Jan,50.33,7.94,38,0,0
808,PM Siddle (AUS),2009-2010,2,2, 8.00 ,0,58,3,24-Feb,19.33,7.25,16,0,0
809,Sikander Zulfiqar (NL),2016-2019,11,7, 10.00 ,0,79,3,9-Jan,26.33,7.9,20,0,0
810,KM Silva (),2019-2019,3,2, 3.00 ,0,18,3,1-Feb,6,6,6,0,0
811,M Simpson-Parker (Aut),2019-2019,3,3, 5.00 ,0,40,3,6-Feb,13.33,8,10,0,0
812,S Singh (PHI),2019-2019,4,4, 11.00 ,0,110,3,Mar-32,36.66,10,22,0,0
813,DC Smith (PHI),2019-2019,4,4, 11.00 ,0,89,3,8-Jan,29.66,8.09,22,0,0
814,A Srivastav (Chile),2019-2019,4,3, 8.00 ,0,73,3,28-Feb,24.33,9.12,16,0,0
815,H Ssenyondo (UGA),2019-2019,4,3, 10.00 ,0,48,3,14-Mar,16,4.8,20,0,0
816,JH Stander (SCOT),2009-2012,11,7, 13.30 ,0,156,3,24-Feb,52,11.55,27,0,0
817,Suhail Sadiq (LUX),2019-2019,2,2, 6.00 ,0,45,3,13-Feb,15,7.5,12,0,0
818,Syazrul Idrus (MAL),2019-2019,2,2, 7.00 ,0,64,3,Feb-31,21.33,9.14,14,0,0
819,Tahir Dar (BAH),2019-2019,4,4, 14.00 ,0,128,3,Feb-31,42.66,9.14,28,0,0
820,Tanveer Ahmed (HKG),2016-2017,5,5, 13.30 ,0,116,3,Feb-29,38.66,8.59,27,0,0
821,SR Taylor (USA),2019-2019,8,5, 13.00 ,1,70,3,10-Feb,23.33,5.38,26,0,0
822,AC Thomas (SA),2007-2007,1,1, 4.00 ,0,25,3,25-Mar,8.33,6.25,8,0,0
823,SF Tiai (Samoa),2019-2019,4,4, 11.00 ,0,82,3,16-Feb,27.33,7.45,22,0,0
824,BM Tickner (NZ),2019-2019,3,3, 12.00 ,0,109,3,25-Feb,36.33,9.08,24,0,0
825,DR Tuffey (NZ),2005-2010,3,3, 10.00 ,0,93,3,16-Feb,31,9.3,20,0,0
826,AJ Turner (AUS),2017-2019,11,3, 6.00 ,0,42,3,12-Feb,14,7,12,0,0
827,MB van Schelven (NL),2015-2015,2,2, 7.00 ,0,30,3,22-Feb,10,4.28,14,0,0
828,Vichanath Singh (THAI),2019-2019,4,4, 16.00 ,1,90,3,15-Jan,30,5.62,32,0,0
829,Virandeep Singh (MAL),2019-2019,12,8, 17.20 ,0,135,3,15-Feb,45,7.78,34.6,0,0
830,RR Watson (SCOT),2007-2010,10,5, 10.00 ,0,92,3,4-Jan,30.66,9.2,20,0,0
831,RM West (IRE),2009-2009,5,5, 19.00 ,0,142,3,23-Jan,47.33,7.47,38,0,0
832,SG Whittingham (SCOT),2018-2018,3,3, 10.00 ,0,79,3,Feb-33,26.33,7.9,20,0,0
833,S Wickramasekara (CZK-R),2019-2019,5,5, 15.30 ,1,93,3,2-Feb,31,6,31,0,0
834,Younis Khan (PAK),2006-2010,25,1, 3.40 ,0,18,3,18-Mar,6,4.9,7.3,0,0
835,Zahid Hussain (CAN),2012-2012,3,3, 9.30 ,0,47,3,16-Mar,15.66,4.94,19,0,0
836,Zaki Ul Hassan (Belg),2019-2019,3,3, 9.00 ,0,56,3,12-Jan,18.66,6.22,18,0,0
837,C Zavoiu (ROM),2019-2019,3,1, 1.00 ,0,4,3,4-Mar,1.33,4,2,0,0
838,Ziaur Rahman (BDESH),2012-2014,14,7, 12.30 ,0,127,3,16-Jan,42.33,10.16,25,0,0
839,Zulqarnain Haider (ESP),2019-2019,5,5, 13.00 ,0,60,3,7-Jan,20,4.61,26,0,0
840,Aamer Yamin (PAK),2015-2018,2,2, 6.00 ,0,37,2,12-Jan,18.5,6.16,18,0,0
841,Aaron Jones (USA),2019-2019,8,3, 7.00 ,0,28,2,6-Jan,14,4,21,0,0
842,YA Abdulla (SA),2009-2009,2,2, 7.00 ,0,44,2,16-Jan,22,6.28,21,0,0
843,AG Achar (SGP),2019-2019,3,3, 6.00 ,0,44,2,9-Jan,22,7.33,18,0,0
844,Ahmed Hassan (Mald),2019-2019,11,5, 7.30 ,0,81,2,8-Jan,40.5,10.8,22.5,0,0
845,Ali Naqi (PORT),2019-2019,4,4, 10.00 ,0,65,2,20-Feb,32.5,6.5,30,0,0
846,Alok Kapali (BDESH),2007-2011,7,2, 5.00 ,0,35,2,12-Feb,17.5,7,15,0,0
847,Anique Uddin (DEN),2019-2019,6,2, 2.30 ,0,14,2,12-Feb,7,5.6,7.5,0,0
848,DNA Ankrah (Ghana),2019-2019,4,4, 12.00 ,1,85,2,21-Jan,42.5,7.08,36,0,0
849,Apon Mustafizur (Serb),2019-2019,2,1, 3.00 ,0,30,2,Feb-30,15,10,9,0,0
850,Aqib Ilyas (OMAN),2015-2019,22,4, 9.00 ,0,59,2,9-Jan,29.5,6.55,27,0,0
851,S Arachchige (ITA),2019-2019,4,4, 6.00 ,0,42,2,15-Feb,21,7,18,0,0
852,JC Archer (ENG),2019-2019,1,1, 4.00 ,0,29,2,Feb-29,14.5,7.25,12,0,0
853,Ashfaq Ahmed (UAE),2018-2019,12,2, 6.00 ,0,34,2,14-Jan,17,5.66,18,0,0
854,Atif Kamal (LUX),2019-2019,4,4, 14.00 ,0,90,2,5-Feb,45,6.42,42,0,0
855,Aziz Mohammad (Belg),2019-2019,3,3, 12.00 ,0,84,2,18-Jan,42,7,36,0,0
856,MO Bacarese (GIBR),2019-2019,3,3, 12.00 ,0,51,2,15-Jan,25.5,4.25,36,0,0
857,LS Baker (WI),2008-2009,3,3, 8.00 ,0,58,2,12-Jan,29,7.25,24,0,0
858,JT Ball (ENG),2018-2018,2,2, 7.00 ,0,83,2,Jan-39,41.5,11.85,21,0,0
859,GG Banner (Blz),2019-2019,3,1, 3.30 ,0,10,2,10-Feb,5,2.85,10.5,0,0
860,W Barresi (NL),2012-2019,42,3, 5.40 ,0,49,2,3-Jan,24.5,8.64,17,0,0
861,RJ Campbell (HKG),2016-2016,3,3, 10.00 ,0,68,2,28-Feb,34,6.8,30,0,0
862,P Chandran (Mex),2019-2019,3,2, 4.00 ,0,45,2,22-Jan,22.5,11.25,12,0,0
863,FA Cossa (Moz),2019-2019,6,5, 14.00 ,0,110,2,24-Jan,55,7.85,42,0,0
864,KM Dabengwa (ZIM),2006-2010,8,7, 11.00 ,0,106,2,1-Jan,53,9.63,33,0,0
865,DK Dahyabhai Ahir (PNM),2019-2019,2,2, 3.00 ,0,27,2,11-Feb,13.5,9,9,0,0
866,JWM Dalrymple (ENG),2006-2007,3,3, 5.00 ,0,39,2,10-Jan,19.5,7.8,15,0,0
867,Dawlat Ahmadzai (AFG),2010-2010,2,2, 4.00 ,0,46,2,21-Jan,23,11.5,12,0,0
868,AS Dean (CAN),2008-2013,2,2, 4.00 ,0,32,2,18-Feb,16,8,12,0,0
869,AP Devcich (NZ),2013-2014,4,4, 12.00 ,0,80,2,16-Feb,40,6.66,36,0,0
870,LHD Dilhara (SL),2008-2008,2,2, 5.00 ,0,30,2,6-Feb,15,6,15,0,0
871,N Dipakkumar Patel (PNM),2019-2019,3,3, 10.00 ,0,42,2,17-Feb,21,4.2,30,0,0
872,K Dorji (BHU),2019-2019,2,2, 7.00 ,0,69,2,Feb-45,34.5,9.85,21,0,0
873,Ehsan Nawaz (HKG),2014-2017,5,5, 7.40 ,0,79,2,22-Jan,39.5,10.3,23,0,0
874,AM Ellis (NZ),2012-2013,5,4, 10.00 ,0,105,2,Feb-40,52.5,10.5,30,0,0
875,Fakhrul Mohon (PORT),2019-2019,4,4, 14.00 ,2,85,2,21-Jan,42.5,6.07,42,0,0
876,V Ganesan (GER),2019-2019,4,4, 9.00 ,1,44,2,10-Jan,22,4.88,27,0,0
877,B Geeves (AUS),2009-2009,1,1, 3.20 ,0,35,2,Feb-35,17.5,10.5,10,0,0
878,D Gim (NGA),2019-2019,6,4, 6.00 ,0,65,2,18-Jan,32.5,10.83,18,0,0
879,Hafez Farooq (Peru),2019-2019,4,1, 2.00 ,0,14,2,14-Feb,7,7,6,0,0
880,LHB Harrington-Myers (Caym),2019-2019,4,2, 4.00 ,0,26,2,13-Feb,13,6.5,12,0,0
881,NM Hauritz (AUS),2009-2009,3,2, 7.20 ,0,47,2,20-Jan,23.5,6.4,22,0,0
882,PA Hitchcock (NZ),2008-2008,1,1, 3.00 ,0,43,2,Feb-43,21.5,14.33,9,0,0
883,Imran Ashraf (QAT),2019-2019,3,3, 9.00 ,0,78,2,23-Feb,39,8.66,27,0,0
884,Imran Khan (1) (PAK),2015-2015,3,3, 12.00 ,0,106,2,Feb-35,53,8.83,36,0,0
885,MM Iqbal (SCOT),2012-2013,6,3, 8.00 ,0,59,2,15-Feb,29.5,7.37,24,0,0
886,J Jojo (DEN),2019-2019,7,5, 17.00 ,0,98,2,25-Feb,49,5.76,51,0,0
887,Jubair Hossain (BDESH),2015-2015,1,1, 2.00 ,0,20,2,20-Feb,10,10,6,0,0
888,Junaid Sheikh (NOR),2019-2019,5,5, 16.00 ,1,104,2,21-Jan,52,6.5,48,0,0
889,Kamran Shazad (UAE),2014-2014,3,3, 8.40 ,0,77,2,19-Feb,38.5,8.88,26,0,0
890,D Kegasitswe (Botsw),2019-2019,4,3, 12.00 ,0,156,2,Jan-43,78,13,36,0,0
891,A Khan (ENG),2009-2009,1,1, 4.00 ,0,34,2,Feb-34,17,8.5,12,0,0
892,AK Kitchen (NZ),2017-2018,5,3, 6.00 ,0,46,2,3-Jan,23,7.66,18,0,0
893,Kuldeep Lal (ESP),2019-2019,8,4, 9.00 ,0,100,2,Feb-33,50,11.11,27,0,0
894,B Laughlin (AUS),2009-2013,3,3, 11.50 ,0,118,2,Jan-32,59,9.97,35.5,0,0
895,KS Lokuarachchi (SL),2012-2012,2,2, 6.00 ,0,48,2,Feb-31,24,8,18,0,0
896,J Louw (SA),2008-2009,2,2, 7.00 ,0,54,2,Feb-36,27,7.71,21,0,0
897,Lucky Ali (DEN),2019-2019,2,2, 7.00 ,1,40,2,19-Jan,20,5.71,21,0,0
898,AJ McKay (NZ),2010-2010,2,2, 5.40 ,0,31,2,20-Feb,15.5,5.47,17,0,0
899,DSK Madushanka (SL),2018-2018,2,2, 5.10 ,0,62,2,23-Feb,31,12,15.5,0,0
900,R Mahajan (PHI),2019-2019,3,3, 10.00 ,0,93,2,18-Jan,46.5,9.3,30,0,0
901,GI Maiden (SCOT),2008-2008,3,3, 10.00 ,0,58,2,20-Jan,29,5.8,30,0,0
902,GT Main (SCOT),2015-2016,4,2, 4.00 ,0,34,2,13-Jan,17,8.5,12,0,0
903,P Manning (Caym),2019-2019,6,4, 8.00 ,0,53,2,3-Feb,26.5,6.62,24,0,0
904,B Masaba (UGA),2019-2019,1,1, 4.00 ,0,14,2,14-Feb,7,3.5,12,0,0
905,H Masakadza (ZIM),2006-2019,66,9, 12.00 ,0,113,2,4-Jan,56.5,9.41,36,0,0
906,MJ Mason (NZ),2006-2008,3,3, 9.00 ,0,65,2,18-Jan,32.5,7.22,27,0,0
907,B Mavuta (ZIM),2018-2018,3,3, 12.00 ,0,81,2,19-Jan,40.5,6.75,36,0,0
908,Z McLaughlin (Caym),2019-2019,3,3, 7.10 ,0,54,2,Feb-30,27,7.53,21.5,0,0
909,SC Meaker (ENG),2012-2012,2,2, 7.50 ,0,70,2,28-Jan,35,8.93,23.5,0,0
910,Mohameed Taiwo (NGA),2019-2019,2,2, 8.00 ,0,41,2,16-Jan,20.5,5.12,24,0,0
911,Mohammad Adnan (Saudi),2019-2019,5,5, 17.00 ,0,120,2,27-Jan,60,7.05,51,0,0
912,Mohsin Hub (Peru),2019-2019,4,3, 9.00 ,0,39,2,14-Jan,19.5,4.33,27,0,0
913,Muhammad Rafique (BAH),2019-2019,2,2, 5.00 ,0,63,2,31-Jan,31.5,12.6,15,0,0
914,S Murari (CRC),2019-2019,3,3, 10.00 ,0,52,2,10-Jan,26,5.2,30,0,0
915,LA Musiani (Arg),2019-2019,5,4, 15.00 ,1,69,2,16-Jan,34.5,4.6,45,0,0
916,M Nasim Baras (AFG),2015-2015,3,3, 8.00 ,0,56,2,11-Jan,28,7,24,0,0
917,A Nel (SA),2005-2007,2,2, 8.00 ,0,42,2,19-Feb,21,5.25,24,0,0
918,R Ngarava (ZIM),2019-2019,1,1, 4.00 ,0,48,2,Feb-48,24,12,12,0,0
919,F Nsubuga (UGA),2019-2019,3,3, 8.00 ,0,46,2,19-Feb,23,5.75,24,0,0
920,L Nussbaumer (GUE),2019-2019,1,1, 4.00 ,0,44,2,Feb-44,22,11,12,0,0
921,E Packard (GIBR),2019-2019,4,4, 11.00 ,0,79,2,8-Jan,39.5,7.18,33,0,0
922,MS Panesar (ENG),2007-2007,1,1, 4.00 ,0,40,2,Feb-40,20,10,12,0,0
923,NMS Param (SGP),2019-2019,8,3, 8.00 ,0,55,2,24-Feb,27.5,6.87,24,0,0
924,HH Patel (MWI),2019-2019,7,5, 13.00 ,0,104,2,13-Feb,52,8,39,0,0
925,H Patel (CAN),2010-2013,11,5, 9.50 ,0,83,2,23-Feb,41.5,8.44,29.5,0,0
926,N Pathan (THAI),2019-2019,4,4, 6.00 ,0,60,2,11-Jan,30,10,18,0,0
927,DBL Powell (WI),2007-2007,5,5, 17.00 ,0,131,2,6-Jan,65.5,7.7,51,0,0
928,R Powell (WI),2017-2019,23,4, 8.00 ,0,74,2,20-Jan,37,9.25,24,0,0
929,A Pusthay (Fin),2019-2019,5,4, 10.00 ,0,90,2,26-Feb,45,9,30,0,0
930,S Rakshit (CZK-R),2019-2019,7,5, 12.50 ,0,99,2,11-Jan,49.5,7.71,38.5,0,0
931,S Ravikumar (CRC),2019-2019,3,3, 6.20 ,0,56,2,12-Jan,28,8.84,19,0,0
932,Raza-ur-Rehman (CAN),2012-2013,5,3, 9.00 ,0,58,2,16-Feb,29,6.44,27,0,0
933,AJ Redmond (NZ),2009-2010,7,1, 2.50 ,0,24,2,24-Feb,12,8.47,8.5,0,0
934,GA Rogers (SCOT),2008-2009,2,2, 7.50 ,0,67,2,15-Feb,33.5,8.55,23.5,0,0
935,IH Romaine (BMUDA),2008-2008,2,2, 3.40 ,0,21,2,2-Feb,10.5,5.72,11,0,0
936,SI Runsewe (NGA),2019-2019,6,2, 2.30 ,0,23,2,4-Jan,11.5,9.2,7.5,0,0
937,JD Ryder (NZ),2008-2014,22,5, 10.00 ,0,68,2,2-Jan,34,6.8,30,0,0
938,Sadeeq Khan (ROM),2019-2019,3,3, 12.00 ,0,63,2,21-Jan,31.5,5.25,36,0,0
939,TK Saha (Fin),2019-2019,4,4, 10.00 ,0,88,2,22-Jan,44,8.8,30,0,0
940,Sajid Liaqat (GER),2019-2019,2,2, 8.00 ,0,72,2,30-Jan,36,9,24,0,0
941,Sandeep Goud (OMAN),2019-2019,12,2, 6.00 ,0,48,2,Feb-36,24,8,18,0,0
942,Saqib Zulfiqar (NL),2018-2019,6,4, 9.00 ,0,61,2,4-Jan,30.5,6.77,27,0,0
943,Saqlain Ali (Belg),2019-2019,2,2, 7.00 ,0,36,2,12-Jan,18,5.14,21,0,0
944,Sarfaraz Ali (BAH),2019-2019,4,3, 8.00 ,0,60,2,20-Feb,30,7.5,24,0,0
945,P Sarraf (NEPAL),2019-2019,9,6, 11.00 ,1,58,2,3-Jan,29,5.27,33,0,0
946,RR Sarwan (WI),2007-2010,18,1, 2.00 ,0,10,2,10-Feb,5,5,6,0,0
947,Shaffeq Muhammad (),2019-2019,2,2, 7.00 ,1,21,2,12-Feb,10.5,3,21,0,0
948,Sharif Asadullah (UAE),2014-2014,1,1, 3.00 ,0,21,2,21-Feb,10.5,7,9,0,0
949,Shuvagata Hom (BDESH),2016-2016,5,4, 11.00 ,0,71,2,18-Jan,35.5,6.45,33,0,0
950,EHSN Silva (UAE),2014-2014,2,2, 7.00 ,0,58,2,20-Jan,29,8.28,21,0,0
951,LA Simango (Moz),2019-2019,3,3, 6.10 ,0,55,2,20-Feb,27.5,8.91,18.5,0,0
952,OF Smith (WI),2018-2018,2,2, 7.00 ,0,78,2,Jan-38,39,11.14,21,0,0
953,CB Sole (SCOT),2017-2018,4,4, 16.00 ,0,141,2,Feb-38,70.5,8.81,48,0,0
954,AL Stephen (VAN),2019-2019,2,2, 7.00 ,0,29,2,15-Feb,14.5,4.14,21,0,0
955,MJ Swepson (AUS),2018-2018,1,1, 4.00 ,0,37,2,Feb-37,18.5,9.25,12,0,0
956,T Taylor (Caym),2019-2019,6,4, 9.00 ,0,74,2,17-Jan,37,8.22,27,0,0
957,R Telemachus (SA),2006-2007,3,3, 12.00 ,0,90,2,22-Jan,45,7.5,36,0,0
958,S Thuraisingam (CAN),2008-2008,3,3, 7.50 ,0,44,2,13-Jan,22,5.61,23.5,0,0
959,CT Tremlett (ENG),2007-2007,1,1, 4.00 ,0,45,2,Feb-45,22.5,11.25,12,0,0
960,T Turan (TKY),2019-2019,4,3, 8.10 ,0,111,2,Jan-32,55.5,13.59,24.5,0,0
961,S Vashisht (ROM),2019-2019,3,3, 9.00 ,1,31,2,5-Jan,15.5,3.44,27,0,0
962,AC Voges (AUS),2007-2013,7,1, 2.00 ,0,5,2,5-Feb,2.5,2.5,6,0,0
963,Waqas Maqsood (PAK),2018-2018,1,1, 1.50 ,0,21,2,21-Feb,10.5,11.45,5.5,0,0
964,SR Welsh (CAN),2008-2008,1,1, 3.00 ,0,6,2,6-Feb,3,2,9,0,0
965,AR White (IRE),2008-2012,18,1, 4.00 ,0,18,2,18-Feb,9,4.5,12,0,0
966,G Wijekoon (SL),2007-2007,3,3, 11.00 ,0,101,2,12-Jan,50.5,9.18,33,0,0
967,C Wright (Caym),2019-2019,6,4, 7.00 ,0,53,2,Feb-34,26.5,7.57,21,0,0
968,HN Ya France (NAM),2019-2019,6,6, 13.00 ,0,82,2,3-Jan,41,6.3,39,0,0
969,Zain ul Tashnam (CRC),2019-2019,3,2, 8.00 ,1,35,2,16-Jan,17.5,4.37,24,0,0
970,S Zargar (Mex),2019-2019,1,1, 3.00 ,0,22,2,22-Feb,11,7.33,9,0,0
971,Ziaur Rahman (AFG),2019-2019,1,1, 4.00 ,0,42,2,Feb-42,21,10.5,12,0,0
972,Adnan Idrees (KUW),2019-2019,6,3, 7.00 ,0,67,1,Jan-34,67,9.57,42,0,0
973,N Advani (GIBR),2019-2019,1,1, 3.00 ,0,12,1,12-Jan,12,4,18,0,0
974,Aftab Ahmed (2) (DEN),2019-2019,1,1, 1.00 ,0,10,1,10-Jan,10,10,6,0,0
975,GW Aldridge (NZ),2011-2011,1,1, 4.00 ,0,45,1,Jan-45,45,11.25,24,0,0
976,J Allen (),2019-2019,2,2, 2.00 ,0,19,1,7-Jan,19,9.5,12,0,0
977,TP Allen (USA),2019-2019,5,2, 3.00 ,0,28,1,11-Jan,28,9.33,18,0,0
978,Amir Ali (OMAN),2015-2016,10,5, 9.00 ,0,67,1,6-Jan,67,7.44,54,0,0
979,Amir Mangal (GER),2019-2019,9,5, 6.40 ,0,57,1,17-Jan,57,8.55,40,0,0
980,S Aravind (INDIA),2015-2015,1,1, 3.40 ,0,44,1,Jan-44,44,12,22,0,0
981,Ariful Haque (BDESH),2018-2018,9,1, 1.00 ,0,13,1,13-Jan,13,13,6,0,0
982,B Arora (MALTA),2019-2019,4,4, 11.10 ,0,75,1,26-Jan,75,6.71,67,0,0
983,Asad Mohammad (GER),2019-2019,9,8, 24.00 ,0,158,1,18-Jan,158,6.58,144,0,0
984,Asghar Afghan (AFG),2010-2019,66,1, 0.40 ,0,4,1,4-Jan,4,6,4,0,0
985,AA Banner (Blz),2019-2019,3,2, 8.00 ,0,39,1,18-Jan,39,4.87,48,0,0
986,CD Barnwell (WI),2011-2013,6,4, 6.00 ,0,51,1,24-Jan,51,8.5,36,0,0
987,A Bhattarai (NEPAL),2014-2014,1,1, 3.00 ,0,12,1,12-Jan,12,4,18,0,0
988,SR Bhudia (KENYA),2019-2019,4,4, 9.00 ,0,63,1,6-Jan,63,7,54,0,0
989,STR Binny (INDIA),2015-2016,3,3, 5.00 ,0,54,1,14-Jan,54,10.8,30,0,0
990,CC Blake (VAN),2019-2019,3,3, 8.00 ,0,49,1,15-Jan,49,6.12,48,0,0
991,N Boje (SA),2005-2005,1,1, 4.00 ,0,27,1,27-Jan,27,6.75,24,0,0
992,SG Borthwick (ENG),2011-2011,1,1, 4.00 ,0,15,1,15-Jan,15,3.75,24,0,0
993,DL Brangman (BMUDA),2019-2019,5,5, 7.00 ,0,84,1,19-Jan,84,12,42,0,0
994,CL Cairns (NZ),2005-2006,2,2, 8.00 ,0,52,1,28-Jan,52,6.5,48,0,0
995,A Carthew (Chile),2019-2019,4,1, 2.00 ,0,19,1,19-Jan,19,9.5,12,0,0
996,RD Chahar (INDIA),2019-2019,1,1, 3.00 ,0,27,1,27-Jan,27,9,18,0,0
997,Charanjeet Singh (ITA),2019-2019,3,2, 5.00 ,0,35,1,18-Jan,35,7,30,0,0
998,MS Crane (ENG),2017-2017,2,2, 8.00 ,0,62,1,Jan-38,62,7.75,48,0,0
